id;date;amount_to_pay;amount_paid;remaining_amount;customer_name;customer_company;customer_contact
1;2026-07-16T12:46:18;10019.99;25231.87;19646.05;camarade au cas où bon;mélancolique contester surprendre;aider avex tantôt
2;2026-07-16T15:08:03;24188.77;5232.64;27240.33;vraiment;de peur que;conclure si entre-temps
3;2026-07-16T03:53:41;6461.93;16808.72;13877.24;au cas où;bang;deçà gai tout à fait
4;2026-07-16T16:57:14;9228.83;27284.33;17470.8;main-d’œuvre assez entre-temps;si;quitte à vite
5;2026-07-16T09:35:08;5195.17;25607.37;24687.63;propre avant que dorénavant;vu que vouh avant que;parlementaire appliquer
6;2026-07-15T22:44:27;29033.71;10932.43;30343.38;du côté de de;de peur que membre du personnel;subito clientèle
7;2026-07-16T12:54:07;2674.46;835.66;15278.04;suffisamment suivant;de crainte que;perplexe prestataire de services afin de
8;2026-07-16T12:56:08;28605.89;19527.78;19360.1;dessiner bien que;peser de façon à ce que;tellement
9;2026-07-16T09:05:03;31904.22;19942.53;33.74;quand en dehors de convertir;si vaincre partager;personnel professionnel tant que
10;2026-07-16T10:52:43;12544.24;3914.94;22291.07;ha ha d’autant que du fait que;membre de l’équipe vite;brusque certainement
11;2026-07-16T08:01:16;18480;2281.76;19850.09;jeune enfant vroum;turquoise;broum hebdomadaire dans
12;2026-07-16T15:00:17;19492.55;26018.27;25797.29;afin que certes;féliciter;totalement toc-toc
13;2026-07-16T03:54:08;13780.42;1016.4;11641.14;snob énergique;pourvu que;posséder aimable affecter
14;2026-07-16T16:52:03;4848.67;20044.09;12751;mal en dehors de;serviable préserver;délégation bien autour de
15;2026-07-16T02:35:38;30105.35;3892.42;17402.76;cocorico chef de cuisine debout;bien gonfler;déjà
16;2026-07-16T20:54:48;30975.8;4625.13;7212.3;séculaire avant aux alentours de;smack près;membre du personnel tic-tac
17;2026-07-16T16:59:00;16222.1;25939.45;3003.36;coac coac;concernant;près hirsute
18;2026-07-16T19:05:15;11631.62;10456.88;9785.06;responsable;snif ha;assumer
19;2026-07-16T13:23:46;13334.7;26456.85;3913.41;afin que;approcher à même serviable;toc lectorat
20;2026-07-15T23:02:05;25021.53;19751.65;8450.24;tchou tchouu crever;rattraper sus commander;sincère en dedans de
21;2026-07-16T03:06:52;32213.31;17439.22;804.66;équilibrer main-d’œuvre;sincère grâce à sauf à;entre
22;2026-07-16T04:13:31;16328.91;15498.06;648.76;biathlète euh;désagréable croître;de peur que sans doute amorphe
23;2026-07-16T20:39:37;28505.75;9412.5;19310.37;d'avec mince;glouglou ailleurs auprès de;croâ survivre
24;2026-07-16T14:55:10;22139.47;13767.49;16554.49;avare;coin-coin bof;assez gestionnaire
25;2026-07-16T15:37:25;289.77;9744.39;3727.26;reproduire clientèle diplomate;partager;de crainte que
26;2026-07-15T22:13:06;19381.49;5315.77;24385.21;svelte;tantôt hi doubler;jusqu’à ce que de façon à ce que
27;2026-07-16T03:14:01;13988.41;1723.05;32308.27;atteindre;marquer direction;écrire comme
28;2026-07-16T03:08:55;30698.54;26909.55;9291.38;jusqu’à ce que désormais;assez;prononcer
29;2026-07-16T09:13:44;11736.94;20701.72;13662.83;hi;au-devant;de crainte que
30;2026-07-16T13:36:58;25686.01;30761.94;16661.68;oh;au prix de à travers via;sédentaire
